date,mvrv,market_cap,price,supply
2016-10-20,1.66126571,10019590594.07234392547068034058,628.598901110462,15939561.10386459
2016-10-21,1.66533193,10057661337.4500058251411336333,630.90620338983,15941611.10385451
2016-10-22,1.72581278,10435141081.46139820530664437687,654.508630976037,15943473.60385451
2016-10-23,1.71807394,10395711779.67705547261592201538,651.961956750438,15945273.60383451
2016-10-24,1.71141678,10366022953.71365045034876755817,650.027167153711,15947061.10377447
2016-10-25,1.72432365,10459102589.22524093136705843732,655.792505084746,15948798.60341442
2016-10-26,1.77111563,10768355905.42589714655098204538,675.109869316189,15950523.60341442
2016-10-27,1.79615707,10951796742.25678684299830452068,686.523327060199,15952548.60334332
2016-10-28,1.80415758,11014802220.44680610856018879816,690.390654938632,15954448.60334313
2016-10-29,1.8651885,11415870485.8864216988688514459,715.445469316189,15956311.1033431
2016-10-30,1.8226058,11160250070.84531610176344703608,699.333410987726,15958411.10334308
2016-10-31,1.81838639,11154581487.06092315572086645675,698.897727995325,15960248.60326279
2016-11-01,1.89570499,11661529206.40790362088215430231,730.578480011689,15962048.60321279
2016-11-02,1.91748494,11819005784.70670008335751085274,740.367055523086,15963711.10321259
2016-11-03,1.78730294,11015326935.81564013058309104271,689.939206954997,15965648.60320243
2016-11-04,1.82526343,11263702567.80987400711617231572,705.432016656926,15967098.60319222
2016-11-05,1.82779984,11287152646.52619749979373823556,706.819325569842,15968936.10319218
2016-11-06,1.84962453,11433480682.43062767648064680128,715.896879777908,15970848.60319216
2016-11-07,1.82330887,11279602080.23291952222242078904,706.181216773816,15972673.60319169
2016-11-08,1.83441017,11371425389.70757244737233764375,711.835846580947,15974786.10318125
2016-11-09,1.85565551,11527158053.3696023868765928671,721.50150993571,15976623.60318101
2016-11-10,1.83311387,11399343106.15487350150765702541,713.407615604909,15978723.60318049
2016-11-11,1.83712016,11437483628.03898063783596376585,715.703310637055,15980761.10317047
2016-11-12,1.80622068,11249497647.67224552126431430825,703.847551139685,15982861.10317045
2016-11-13,1.80498214,11247212520.8573954900834364273,703.626435300994,15984636.10317045
