date,buy_frac,quote_vol,taker_buy_quote
2022-09-14,0.4979,6886235196.646198,3428396493.969275
2022-09-15,0.4974,6655264974.213759,3310217929.7411156
2022-09-16,0.4972,5584012914.113887,2776292772.190228
2022-09-17,0.4997,3578667842.695283,1788389852.300196
2022-09-18,0.4897,5033968947.530573,2465062845.967856
2022-09-19,0.4975,7215196795.656052,3589311748.607395
2022-09-20,0.4959,6206043205.412278,3077612901.1468134
2022-09-21,0.4944,7338667639.751957,3628361586.9101534
2022-09-22,0.5035,7203741481.483637,3627123696.6905694
2022-09-23,0.5049,7330336009.190998,3701394516.7736163
2022-09-24,0.5032,4568927983.6507845,2298979763.309452
2022-09-25,0.4969,3625136713.924704,1801229611.9768589
2022-09-26,0.5023,8356951609.998724,4198006044.884225
2022-09-27,0.5003,11705770260.672161,5856646101.495988
2022-09-28,0.5006,9964460007.304356,4988233394.322661
2022-09-29,0.5,7868786414.856212,3934342925.087511
2022-09-30,0.4951,8694127253.576595,4304848630.332639
2022-10-01,0.4995,3200350294.52687,1598688567.5865653
2022-10-02,0.4979,3970724799.9558167,1977186000.1992047
2022-10-03,0.5021,5672105805.772144,2847846726.2369485
2022-10-04,0.5066,6533428229.851051,3309936012.948392
2022-10-05,0.4972,6275437160.958072,3120338866.325755
2022-10-06,0.5047,6452892402.324269,3256881316.716539
2022-10-07,0.4972,4353681483.987034,2164491136.4831276
2022-10-08,0.4955,1995917001.739599,988952773.2163393
2022-10-09,0.5019,2215007204.237991,1111737800.1694417
2022-10-10,0.4934,4101745483.129524,2023908022.7360182
2022-10-11,0.4979,4642843395.600282,2311676809.242172
2022-10-12,0.4986,4086903621.9265537,2037738508.1616392
2022-10-13,0.5001,7554309475.307986,3777964473.262912
2022-10-14,0.5,6877621835.225796,3438783886.911806
2022-10-15,0.4929,2178316065.622199,1073637476.7688468
2022-10-16,0.5045,2531545363.3077,1277129233.6607454
2022-10-17,0.502,4331666395.604674,2174642989.585405
2022-10-18,0.4974,5065944973.464348,2520037025.6074157
2022-10-19,0.4962,3575041318.449784,1773769908.8877597
2022-10-20,0.4951,4276025723.9947824,2117089562.3644776
2022-10-21,0.4961,5126619487.869021,2543268174.8886347
2022-10-22,0.4903,2117395641.1269214,1038228038.7109543
2022-10-23,0.5057,3233393909.200977,1635057403.3351152
2022-10-24,0.495,4957159176.816838,2453987281.1859627
2022-10-25,0.5005,6454151276.520069,3230612090.8673344
2022-10-26,0.5017,7833551674.485677,3930265900.9481273
2022-10-27,0.4965,6771209922.011917,3361632657.413893
2022-10-28,0.4985,5849603405.682575,2915977522.5824976
2022-10-29,0.502,5303038321.457483,2662029299.9096394
2022-10-30,0.4982,3994389493.3258915,1990076844.6331499
2022-10-31,0.4982,6226304300.443864,3101777763.860474
2022-11-01,0.4976,5740102554.92083,2856018095.763569
2022-11-02,0.4972,7633404092.430692,3795164791.221807
2022-11-03,0.5011,6461673165.239643,3237968703.461187
2022-11-04,0.5012,9409862204.986904,4716670352.08739
2022-11-05,0.5009,5240395528.908201,2624930077.1572924
2022-11-06,0.4958,4877535058.412703,2418047871.809807
2022-11-07,0.4951,8035052131.593453,3978525724.8740206
2022-11-08,0.4927,14758384309.854223,7271200924.070388
2022-11-09,0.4903,12737719697.394009,6245795114.512092
2022-11-10,0.4981,10323294543.880354,5141663571.356439
2022-11-11,0.5017,6725273822.837806,3374092512.561806
2022-11-12,0.4962,2827930561.006379,1403236127.923594
2022-11-13,0.497,3074280132.053523,1527844645.634117
2022-11-14,0.4985,6273920325.336827,3127495594.2107644
2022-11-15,0.4993,4758545355.786832,2375750102.4183183
2022-11-16,0.4958,4362538338.565324,2162757428.721518
2022-11-17,0.4971,3785204632.014221,1881536908.0664897
2022-11-18,0.4965,3588467560.373121,1781845353.094005
2022-11-19,0.4992,1747627888.1295474,872445362.1257405
2022-11-20,0.4906,2561165772.4957075,1256443330.0415068
2022-11-21,0.4937,5188798317.004153,2561914108.9244175
2022-11-22,0.4985,3823612603.803002,1905917090.2669592
2022-11-23,0.5013,4368042618.500261,2189676204.366816
2022-11-24,0.4996,3431724405.654768,1714660566.877812
2022-11-25,0.4953,3003553172.2294717,1487718711.084076
2022-11-26,0.4931,3011990387.647429,1485219997.2638843
2022-11-27,0.4944,2679048565.5213013,1324406073.6694643
2022-11-28,0.4977,4096398587.357314,2038825206.5401728
2022-11-29,0.4987,4072651066.9994063,2030827592.4923499
2022-11-30,0.5008,5123595199.505285,2566042182.996361
2022-12-01,0.4983,3972607179.8685718,1979692808.0070593
2022-12-02,0.4919,3432385161.660257,1688510144.191262
2022-12-03,0.4932,2622504252.866453,1293351463.1609118
2022-12-04,0.5003,3040020095.051178,1520945572.0768337
2022-12-05,0.4942,4015334796.603721,1984551471.3164082
2022-12-06,0.4958,3717926010.3405867,1843473774.5861642
2022-12-07,0.4886,3723206794.305467,1819002376.4928687
2022-12-08,0.4959,4009427525.0304117,1988377121.4173508
2022-12-09,0.4951,4097973425.697354,2028743141.4068208
2022-12-10,0.5005,2411933258.8486,1207126756.2174747
2022-12-11,0.5006,2663686104.0825615,1333501724.91499
2022-12-12,0.4964,3844787581.4819245,1908405023.8763018
2022-12-13,0.506,4983896040.378995,2521692886.9668703
2022-12-14,0.4999,4779915721.484459,2389606669.9635315
2022-12-15,0.4926,3923378677.8337474,1932609296.7091348
2022-12-16,0.4869,4308933187.65654,2098188985.007097
2022-12-17,0.4992,2417851422.213125,1206885683.569382
2022-12-18,0.4932,1884666030.099238,929480021.401935
2022-12-19,0.4892,2981094033.013813,1458309480.7452483
2022-12-20,0.4993,4176995653.545711,2085423621.7423255
2022-12-21,0.4954,2638528723.7360415,1307019850.0606217
2022-12-22,0.4974,2949612072.049303,1467281598.7190852
2022-12-23,0.5014,2720021933.9789267,1363871435.613549
2022-12-24,0.4947,1686757294.9926343,834395051.2711908
2022-12-25,0.4948,2108857873.1916704,1043560797.0693523
2022-12-26,0.4957,2099037538.6317942,1040420821.2262526
2022-12-27,0.4955,2918379509.5314097,1446098274.5653381
2022-12-28,0.4979,3210894236.812391,1598767893.172797
2022-12-29,0.503,2671665748.0816226,1343799862.9950266
2022-12-30,0.4982,2726831056.725026,1358631100.7592442
2022-12-31,0.4981,1897047504.9188974,944834393.3413354
2023-01-01,0.5009,1604793789.6772127,803841673.8350587
2023-01-02,0.4999,2034683215.2678783,1017074780.6918063
2023-01-03,0.4989,2662765916.3256683,1328471402.7136745
2023-01-04,0.498,3709833209.845365,1847617011.385377
2023-01-05,0.4952,2751080253.8177333,1362471754.0532992
2023-01-06,0.4982,3490305009.6881223,1738828235.2023005
2023-01-07,0.4939,1770201710.2089734,874295207.6365124
2023-01-08,0.4972,2291925699.9585457,1139647002.7608514
2023-01-09,0.4949,4590284350.546169,2271681164.7993326
2023-01-10,0.4941,3829247653.7311053,1891995855.287608
2023-01-11,0.4956,4586965947.26355,2273368097.029264
2023-01-12,0.5001,8348431207.846009,4174813798.3828607
2023-01-13,0.4978,7061633461.444734,3515300890.3050575
2023-01-14,0.5022,8183071567.046188,4109568162.1704197
2023-01-15,0.4947,3710526606.138964,1835436631.7038705
2023-01-16,0.496,6168654053.042638,3059597458.3853526
2023-01-17,0.4979,5840585769.490093,2908227174.2490306
2023-01-18,0.4935,7399719195.246726,3652037808.316215
2023-01-19,0.497,5243024330.011201,2605629874.089028
2023-01-20,0.5036,7256172889.710533,3654038898.2709284
2023-01-21,0.4984,7938935168.532014,3956916674.402963
2023-01-22,0.4963,5775552321.544121,2866409820.7225704
2023-01-23,0.4968,6704191295.97568,3330927704.48361
2023-01-24,0.4921,6721432962.573841,3307407342.13858
2023-01-25,0.499,7875590359.115837,3929821773.9651175
2023-01-26,0.4956,6664592468.337928,3303064271.0511746
2023-01-27,0.4975,6461707755.053915,3214623770.8450403
2023-01-28,0.4987,3408985411.316586,1700057503.749539
2023-01-29,0.5056,6941922954.136406,3510026672.7997174
2023-01-30,0.493,7020727239.059652,3461492907.172606
2023-01-31,0.5027,6083858924.538486,3058369006.2406993
2023-02-01,0.5024,7212542002.325099,3623730152.719127
2023-02-02,0.4993,8673696845.80511,4330715913.906593
2023-02-03,0.4996,7806490899.914181,3900042090.516365
2023-02-04,0.4928,3886777607.796051,1915443497.6889513
2023-02-05,0.4965,4842463016.833934,2404286621.1203337
2023-02-06,0.4988,6076050768.117038,3030470974.62453
2023-02-07,0.502,7085929136.456849,3557209786.5153685
2023-02-08,0.495,6457585647.820655,3196783919.6301227
2023-02-09,0.4947,9052973327.197163,4478800426.302857
2023-02-10,0.4945,7369456394.906654,3644087094.706669
2023-02-11,0.4968,3842000897.7975802,1908638569.7798102
2023-02-12,0.495,4469822441.4372015,2212545781.0931144
2023-02-13,0.4979,6404813758.2696295,3188732830.1994424
2023-02-14,0.5029,7938385476.792084,3991901041.9023824
2023-02-15,0.5082,8604133693.663172,4372346767.103614
2023-02-16,0.4987,11074988148.779009,5522891581.325578
2023-02-17,0.5015,11968532252.05733,6001870488.345367
2023-02-18,0.4954,5339920389.516133,2645647445.8196015
2023-02-19,0.4983,7408745406.624344,3692030229.980345
2023-02-20,0.5029,8561226688.07291,4305469238.849922
2023-02-21,0.4975,9280992344.428871,4617218785.187702
2023-02-22,0.4961,9101745945.990707,4515001623.435453
2023-02-23,0.4972,9596083721.512953,4771375630.511308
2023-02-24,0.4956,8087524100.39044,4008150118.2167997
2023-02-25,0.4937,4406286300.272117,2175283940.9041314
2023-02-26,0.4993,4716158181.22559,2354572412.6900682
2023-02-27,0.4983,6659785788.329373,3318353869.99525
2023-02-28,0.4967,6172930936.037334,3066249880.6703186
2023-03-01,0.501,7441571085.495408,3728256787.110094
2023-03-02,0.4994,5603770010.239548,2798797976.70041
2023-03-03,0.49,7167184765.7436495,3512245357.186191
2023-03-04,0.4952,2706422995.680256,1340204531.1540701
2023-03-05,0.4999,3473011455.1879516,1735989090.899561
2023-03-06,0.5012,4569102169.185691,2289889200.1667166
2023-03-07,0.4974,6517594938.246053,3242136502.654673
2023-03-08,0.4976,6641171704.242421,3304860256.104994
2023-03-09,0.4913,9403028764.707773,4619803522.043237
2023-03-10,0.4983,12344992788.912497,6151475123.535514
2023-03-11,0.4982,8651590672.468525,4310534195.909292
2023-03-12,0.5074,8982418413.80114,4558127964.925804
2023-03-13,0.5041,15824996078.605639,7976620081.706099
2023-03-14,0.5029,17465307097.884075,8783916247.676138
2023-03-15,0.5008,14291005743.897852,7157472156.962334
2023-03-16,0.5016,10847330151.941006,5441432259.260846
2023-03-17,0.5094,16476681071.24338,8392477832.002322
2023-03-18,0.5002,10135945069.64263,5070480124.593879
2023-03-19,0.5057,10264707987.594164,5191102286.400918
2023-03-20,0.5023,13300424536.514921,6680704887.532146
2023-03-21,0.5001,11760492716.33759,5880942507.630011
2023-03-22,0.4926,6272099822.449624,3089585214.115064
2023-03-23,0.5066,3591123573.1149583,1819323637.2903445
2023-03-24,0.4806,2403443392.0273013,1155147465.7389932
